elements;bu;td
100;171;192
200;390;407
300;606;620
400;804;846
500;1023;1069
600;1254;1312
700;1491;1540
800;1725;1764
900;1962;1995
1000;2184;2232
1100;2436;2472
1200;2646;2705
1300;2901;2968
1400;3120;3193
1500;3351;3427
1600;3567;3640
1700;3768;3855
1800;3978;4069
1900;4215;4321
2000;4416;4545
2100;4659;4808
2200;4908;5061
2300;5133;5288
2400;5373;5529
2500;5601;5750
2600;5829;5986
2700;6036;6212
2800;6243;6432
2900;6435;6652
3000;6633;6866
3100;6909;7127
3200;7149;7344
3300;7389;7579
3400;7617;7817
3500;7830;8036
3600;8037;8250
3700;8301;8501
3800;8526;8740
3900;8763;8973
4000;9021;9216
4100;9249;9442
4200;9453;9661
4300;9654;9869
4400;9879;10083
4500;10134;10351
4600;10305;10550
4700;10536;10785
4800;10755;11012
4900;11001;11246
5000;11250;11487
5100;11436;11698
5200;11673;11934
5300;11922;12169
5400;12114;12401
5500;12363;12653
5600;12582;12857
5700;12819;13095
5800;13044;13342
5900;13245;13555
6000;13440;13790
6100;13668;14015
6200;13893;14250
6300;14121;14488
6400;14343;14723
6500;14625;14980
6600;14853;15229
6700;15084;15453
6800;15324;15683
6900;15516;15887
7000;15753;16119
7100;16032;16383
7200;16242;16611
7300;16455;16834
7400;16644;17050
7500;16824;17265
7600;17037;17493
7700;17274;17730
7800;17469;17942
7900;17706;18174
8000;17949;18402
8100;18195;18651
8200;18426;18885
8300;18669;19123
8400;18924;19378
8500;19128;19603
8600;19326;19804
8700;19563;20036
8800;19785;20277
8900;20028;20528
9000;20259;20752
9100;20475;20978
9200;20748;21215
9300;20973;21440
9400;21195;21670
9500;21402;21879
9600;21627;22095
9700;21846;22331
9800;22077;22563
9900;22275;22754
10000;22491;23002
